obs,ID,Bin,Bin.Normal,Phase,Rate,Group
1,P001,-8,1,B-1,36,exptl2
2,P001,-7,2,B-1,47,exptl2
3,P001,-6,3,B-1,54,exptl2
4,P001,-5,4,B-1,55,exptl2
5,P001,-4,5,B-1,57,exptl2
6,P001,-3,6,B-1,60,exptl2
7,P001,-2,7,B-1,57,exptl2
8,P001,-1,8,B-1,55,exptl2
9,P001,0,9,B-1,58,exptl2
10,P001,8,10,A-2,43,exptl2
11,P001,7,11,A-2,26,exptl2
12,P001,6,12,A-2,16,exptl2
13,P001,5,13,A-2,18,exptl2
14,P001,4,14,A-2,0,exptl2
15,P001,3,15,A-2,0,exptl2
16,P001,2,16,A-2,10,exptl2
17,P001,1,17,A-2,0,exptl2
18,P001,0,18,A-2,0,exptl2
19,P001,0,19,C-3,5,exptl2
20,P001,1,20,C-3,8,exptl2
21,P001,2,21,C-3,0,exptl2
22,P001,3,22,C-3,0,exptl2
23,P001,4,23,C-3,0,exptl2
24,P001,5,24,C-3,0,exptl2
25,P001,6,25,C-3,0,exptl2
26,P001,7,26,C-3,0,exptl2
27,P001,8,27,C-3,0,exptl2
28,P002,-8,1,B-1,46,exptl2
29,P002,-7,2,B-1,51,exptl2
30,P002,-6,3,B-1,54,exptl2
31,P002,-5,4,B-1,58,exptl2
32,P002,-4,5,B-1,70,exptl2
33,P002,-3,6,B-1,70,exptl2
34,P002,-2,7,B-1,73,exptl2
35,P002,-1,8,B-1,55,exptl2
36,P002,0,9,B-1,62,exptl2
37,P002,8,10,A-2,34,exptl2
38,P002,7,11,A-2,15,exptl2
39,P002,6,12,A-2,34,exptl2
40,P002,5,13,A-2,39,exptl2
41,P002,4,14,A-2,0,exptl2
42,P002,3,15,A-2,27,exptl2
43,P002,2,16,A-2,18,exptl2
44,P002,1,17,A-2,0,exptl2
45,P002,0,18,A-2,3,exptl2
46,P002,0,19,C-3,42,exptl2
47,P002,1,20,C-3,0,exptl2
48,P002,2,21,C-3,0,exptl2
49,P002,3,22,C-3,0,exptl2
50,P002,4,23,C-3,4,exptl2
51,P002,5,24,C-3,41,exptl2
52,P002,6,25,C-3,0,exptl2
53,P002,7,26,C-3,0,exptl2
54,P002,8,27,C-3,12,exptl2
55,P003,-8,1,B-1,8,exptl2
56,P003,-7,2,B-1,23,exptl2
57,P003,-6,3,B-1,25,exptl2
58,P003,-5,4,B-1,33,exptl2
59,P003,-4,5,B-1,36,exptl2
60,P003,-3,6,B-1,35,exptl2
61,P003,-2,7,B-1,26,exptl2
62,P003,-1,8,B-1,32,exptl2
63,P003,0,9,B-1,33,exptl2
64,P003,8,10,A-2,20,exptl2
65,P003,7,11,A-2,13,exptl2
66,P003,6,12,A-2,12,exptl2
67,P003,5,13,A-2,15,exptl2
68,P003,4,14,A-2,16,exptl2
69,P003,3,15,A-2,13,exptl2
70,P003,2,16,A-2,18,exptl2
71,P003,1,17,A-2,15,exptl2
72,P003,0,18,A-2,0,exptl2
73,P003,0,19,C-3,22,exptl2
74,P003,1,20,C-3,18,exptl2
75,P003,2,21,C-3,16,exptl2
76,P003,3,22,C-3,3,exptl2
77,P003,4,23,C-3,13,exptl2
78,P003,5,24,C-3,10,exptl2
79,P003,6,25,C-3,4,exptl2
80,P003,7,26,C-3,15,exptl2
81,P003,8,27,C-3,0,exptl2
82,P004,-8,1,B-1,22,exptl2
83,P004,-7,2,B-1,26,exptl2
84,P004,-6,3,B-1,26,exptl2
85,P004,-5,4,B-1,41,exptl2
86,P004,-4,5,B-1,48,exptl2
87,P004,-3,6,B-1,51,exptl2
88,P004,-2,7,B-1,53,exptl2
89,P004,-1,8,B-1,53,exptl2
90,P004,0,9,B-1,57,exptl2
91,P004,8,10,A-2,15,exptl2
92,P004,7,11,A-2,3,exptl2
93,P004,6,12,A-2,9,exptl2
94,P004,5,13,A-2,4,exptl2
95,P004,4,14,A-2,2,exptl2
96,P004,3,15,A-2,24,exptl2
97,P004,2,16,A-2,0,exptl2
98,P004,1,17,A-2,0,exptl2
99,P004,0,18,A-2,7,exptl2
100,P004,0,19,C-3,35,exptl2
101,P004,1,20,C-3,0,exptl2
102,P004,2,21,C-3,0,exptl2
103,P004,3,22,C-3,0,exptl2
104,P004,4,23,C-3,0,exptl2
105,P004,5,24,C-3,0,exptl2
106,P004,6,25,C-3,0,exptl2
107,P004,7,26,C-3,0,exptl2
108,P004,8,27,C-3,0,exptl2
109,P005,-8,1,B-1,27,exptl2
110,P005,-7,2,B-1,35,exptl2
111,P005,-6,3,B-1,63,exptl2
112,P005,-5,4,B-1,53,exptl2
113,P005,-4,5,B-1,69,exptl2
114,P005,-3,6,B-1,65,exptl2
115,P005,-2,7,B-1,69,exptl2
116,P005,-1,8,B-1,56,exptl2
117,P005,0,9,B-1,41,exptl2
118,P005,8,10,A-2,30,exptl2
119,P005,7,11,A-2,15,exptl2
120,P005,6,12,A-2,29,exptl2
121,P005,5,13,A-2,14,exptl2
122,P005,4,14,A-2,18,exptl2
123,P005,3,15,A-2,21,exptl2
124,P005,2,16,A-2,15,exptl2
